,explained_variance,category,imodulon_size,genes_contained,top_5_gene_weights
alternative_carbon_maybe,0.006515740410071302,poorly characterized,7.0,"['ZMO1_ZMO0319', 'ZMO1_ZMO1576', 'ZMO1_ZMO1577', 'ZMO1_ZMO2075', 'ZMO1_ZMO1936', 'ZMO1_ZMO1983', 'ZMO1_ZMO1984']","ZMO1_ZMO1576, ZMO1_ZMO1983, ZMO1_ZMO1984, ZMO1_ZMO1577, ZMO1_ZMO2075"
cell_cycle,0.006868278291903063,regulatory,40.0,"['ZMO1_ZMO0050', 'ZMO1_ZMO0068', 'ZMO1_ZMO0112', 'ZMO1_ZMO0204', 'ZMO1_ZMO0257', 'ZMO1_ZMO0258', 'ZMO1_ZMO2001', 'ZMO1_ZMO0422', 'ZMO1_ZMO0435', 'ZMO1_ZMO0469', 'ZMO1_ZMO0590', 'ZMO1_ZMO0805', 'ZMO1_ZMO0819', 'ZMO1_ZMO2009', 'ZMO1_ZMO0998', 'ZMO1_ZMO1034', 'ZMO1_ZMO1045', 'ZMO1_ZMO1062', 'ZMO1_ZMO2060', 'ZMO1_ZMO1213', 'ZMO1_ZMO2011', 'ZMO1_ZMO1334', 'ZMO1_ZMO1344', 'ZMO1_ZMO1447', 'ZMO1_ZMO1482', 'ZMO1_ZMO1528', 'ZMO1_ZMO1529', 'ZMO1_ZMO1530', 'ZMO1_ZMO1561', 'ZMO1_ZMO1602', 'ZMO1_ZMO1656', 'ZMO1_ZMO1672', 'ZMO1_ZMO1701', 'ZMO1_ZMO1728', 'ZMO1_ZMO1807', 'ZMO1_ZMO1920', 'ZMO1_ZMO1921', 'ZMO1_ZMO1969', 'ZMO1_ZMO1983', 'ZMO1_ZMOp39x030']","ZMO1_ZMO1920, ZMO1_ZMO0112, ZMO1_ZMO1045, ZMO1_ZMO1807, ZMO1_ZMO1034"
DNA_repair_maybe,0.01384860790702458,poorly characterized,19.0,"['ZMO1_ZMO2071', 'ZMO1_ZMO1930', 'ZMO1_ZMO1931', 'ZMO1_ZMO2076', 'ZMO1_ZMO2032', 'ZMO1_ZMO1932', 'ZMO1_ZMO2034', 'ZMO1_ZMO1936', 'ZMO1_ZMO2035', 'ZMO1_ZMO1944', 'ZMO1_ZMO1945', 'ZMO1_ZMO1946', 'ZMO1_ZMO1950', 'ZMO1_ZMO2038', 'ZMO1_ZMO2039', 'ZMO1_ZMO1951', 'ZMO1_ZMO1952', 'ZMO1_ZMO1971', 'ZMO1_ZMOp39x024']","ZMO1_ZMO1951, ZMO1_ZMO2039, ZMO1_ZMO1930, ZMO1_ZMO1944, ZMO1_ZMO2032"
ETC_and_MEP,0.008161213637311815,metabolism,20.0,"['ZMO1_ZMO0009', 'ZMO1_ZMO0718', 'ZMO1_ZMO0719', 'ZMO1_ZMO2056', 'ZMO1_ZMO0874', 'ZMO1_ZMO0979', 'ZMO1_ZMO1067', 'ZMO1_ZMO1068', 'ZMO1_ZMO1234', 'ZMO1_ZMO1273', 'ZMO1_ZMO1440', 'ZMO1_ZMO1456', 'ZMO1_ZMO1808', 'ZMO1_ZMO1809', 'ZMO1_ZMO1810', 'ZMO1_ZMO1811', 'ZMO1_ZMO1812', 'ZMO1_ZMO1813', 'ZMO1_ZMO1814', 'ZMO1_ZMO1822']","ZMO1_ZMO1813, ZMO1_ZMO1812, ZMO1_ZMO1814, ZMO1_ZMO1810, ZMO1_ZMO0719"
ethanol_fermentation,0.032759038368166626,metabolism,20.0,"['ZMO1_ZMO0122', 'ZMO1_ZMO0286', 'ZMO1_ZMO0309', 'ZMO1_ZMO0693', 'ZMO1_ZMO0740', 'ZMO1_ZMO0918', 'ZMO1_ZMO0994', 'ZMO1_ZMO1007', 'ZMO1_ZMO1060', 'ZMO1_ZMO1113', 'ZMO1_ZMO1133', 'ZMO1_ZMO1236', 'ZMO1_ZMO1237', 'ZMO1_ZMO1286', 'ZMO1_ZMO1289', 'ZMO1_ZMO1373', 'ZMO1_ZMO1410', 'ZMO1_ZMO1533', 'ZMO1_ZMO1754', 'ZMO1_ZMO1776']","ZMO1_ZMO0740, ZMO1_ZMO1237, ZMO1_ZMO0286, ZMO1_ZMO1754, ZMO1_ZMO0693"
fructose_transport_maybe,0.023696993233434882,poorly characterized,24.0,"['ZMO1_ZMO0374', 'ZMO1_ZMO0375', 'ZMO1_ZMO0379', 'ZMO1_ZMO0380', 'ZMO1_ZMO0381', 'ZMO1_ZMO0383', 'ZMO1_ZMO0384', 'ZMO1_ZMO0385', 'ZMO1_ZMO0387', 'ZMO1_ZMO0388', 'ZMO1_ZMO0389', 'ZMO1_ZMO0390', 'ZMO1_ZMO0391', 'ZMO1_ZMO0392', 'ZMO1_ZMO0393', 'ZMO1_ZMO0395', 'ZMO1_ZMO0397', 'ZMO1_ZMO0398', 'ZMO1_ZMO0399', 'ZMO1_ZMO0929', 'ZMO1_ZMO0930', 'ZMO1_ZMO0931', 'ZMO1_ZMO0932', 'ZMO1_ZMO0934']","ZMO1_ZMO0374, ZMO1_ZMO0395, ZMO1_ZMO0397, ZMO1_ZMO0383, ZMO1_ZMO0931"
glycolysis_and_ATP_synthase,0.02095014788854732,metabolism,28.0,"['ZMO1_ZMO0152', 'ZMO1_ZMO0176', 'ZMO1_ZMO0177', 'ZMO1_ZMO0178', 'ZMO1_ZMO0238', 'ZMO1_ZMO0239', 'ZMO1_ZMO0240', 'ZMO1_ZMO0241', 'ZMO1_ZMO0242', 'ZMO1_ZMO0368', 'ZMO1_ZMO0369', 'ZMO1_ZMO0667', 'ZMO1_ZMO0668', 'ZMO1_ZMO0689', 'ZMO1_ZMO0773', 'ZMO1_ZMO0997', 'ZMO1_ZMO1236', 'ZMO1_ZMO1240', 'ZMO1_ZMO1360', 'ZMO1_ZMO2066', 'ZMO1_ZMO2067', 'ZMO1_ZMO1425', 'ZMO1_ZMO1478', 'ZMO1_ZMO1608', 'ZMO1_ZMO1682', 'ZMO1_ZMO1708', 'ZMO1_ZMO1779', 'ZMO1_ZMO1862']","ZMO1_ZMO1608, ZMO1_ZMO0177, ZMO1_ZMO0178, ZMO1_ZMO0241, ZMO1_ZMO1240"
heat_response,0.0823494546757586,stress response,48.0,"['ZMO1_ZMO0015', 'ZMO1_ZMO0016', 'ZMO1_ZMO0017', 'ZMO1_ZMO2041', 'ZMO1_ZMO0134', 'ZMO1_ZMO0174', 'ZMO1_ZMO0203', 'ZMO1_ZMO0215', 'ZMO1_ZMO0246', 'ZMO1_ZMO0247', 'ZMO1_ZMO0256', 'ZMO1_ZMO0290', 'ZMO1_ZMO0362', 'ZMO1_ZMO0376', 'ZMO1_ZMO0478', 'ZMO1_ZMO0660', 'ZMO1_ZMO0885', 'ZMO1_ZMO0920', 'ZMO1_ZMO0948', 'ZMO1_ZMO0989', 'ZMO1_ZMO1011', 'ZMO1_ZMO1187', 'ZMO1_ZMO1271', 'ZMO1_ZMO2018', 'ZMO1_ZMO1352', 'ZMO1_ZMO1401', 'ZMO1_ZMO1413', 'ZMO1_ZMO1414', 'ZMO1_ZMO1415', 'ZMO1_ZMO1424', 'ZMO1_ZMO1485', 'ZMO1_ZMO1545', 'ZMO1_ZMO1549', 'ZMO1_ZMO1614', 'ZMO1_ZMO1636', 'ZMO1_ZMO1659', 'ZMO1_ZMO1690', 'ZMO1_ZMO1696', 'ZMO1_ZMO1697', 'ZMO1_ZMO1698', 'ZMO1_ZMO1704', 'ZMO1_ZMO1705', 'ZMO1_ZMO1721', 'ZMO1_ZMO1928', 'ZMO1_ZMO1929', 'ZMO1_ZMO1992', 'ZMO1_ZMOp36x018', 'ZMO1_ZMOp36x048']","ZMO1_ZMO0989, ZMO1_ZMO0215, ZMO1_ZMO1705, ZMO1_ZMO0290, ZMO1_ZMO0203"
iron_ABC_transport,0.00681120883854025,transport,8.0,"['ZMO1_ZMO0422', 'ZMO1_ZMO0423', 'ZMO1_ZMO0425', 'ZMO1_ZMO0426', 'ZMO1_ZMO0427', 'ZMO1_ZMO0428', 'ZMO1_ZMO0429', 'ZMO1_ZMO0430']","ZMO1_ZMO0422, ZMO1_ZMO0430, ZMO1_ZMO0429, ZMO1_ZMO0428, ZMO1_ZMO0427"
low_pH_response,0.006627443962985535,stress response,9.0,"['ZMO1_ZMO0331', 'ZMO1_ZMO0448', 'ZMO1_ZMO0767', 'ZMO1_ZMO0905', 'ZMO1_ZMO1186', 'ZMO1_ZMO1344', 'ZMO1_ZMO1403', 'ZMO1_ZMO1685', 'ZMO1_ZMO1752']","ZMO1_ZMO1403, ZMO1_ZMO0448, ZMO1_ZMO1344, ZMO1_ZMO0331, ZMO1_ZMO1752"
motility,0.013538642806814938,structural,19.0,"['ZMO1_ZMO0604', 'ZMO1_ZMO0605', 'ZMO1_ZMO0606', 'ZMO1_ZMO0607', 'ZMO1_ZMO0608', 'ZMO1_ZMO0609', 'ZMO1_ZMO0610', 'ZMO1_ZMO0611', 'ZMO1_ZMO0612', 'ZMO1_ZMO0613', 'ZMO1_ZMO0614', 'ZMO1_ZMO0627', 'ZMO1_ZMO0629', 'ZMO1_ZMO0631', 'ZMO1_ZMO0632', 'ZMO1_ZMO0634', 'ZMO1_ZMO0635', 'ZMO1_ZMO0636', 'ZMO1_ZMO0637']","ZMO1_ZMO0635, ZMO1_ZMO0634, ZMO1_ZMO0609, ZMO1_ZMO0612, ZMO1_ZMO0611"
motility_plasmid,0.019382204572724215,structural,22.0,"['ZMO1_ZMOp36x001', 'ZMO1_ZMOp36x002', 'ZMO1_ZMOp36x003', 'ZMO1_ZMOp36x004', 'ZMO1_ZMOp36x005', 'ZMO1_ZMOp36x006', 'ZMO1_ZMOp36x007', 'ZMO1_ZMOp36x008', 'ZMO1_ZMOp36x009', 'ZMO1_ZMOp36x010', 'ZMO1_ZMOp36x011', 'ZMO1_ZMOp36x012', 'ZMO1_ZMOp36x013', 'ZMO1_ZMOp36x014', 'ZMO1_ZMOp36x015', 'ZMO1_ZMOp36x041', 'ZMO1_ZMOp36x042', 'ZMO1_ZMOp36x043', 'ZMO1_ZMOp36x044', 'ZMO1_ZMOp36x045', 'ZMO1_ZMOp36x046', 'ZMO1_ZMOp36x047']","ZMO1_ZMOp36x043, ZMO1_ZMOp36x044, ZMO1_ZMOp36x006, ZMO1_ZMOp36x007, ZMO1_ZMOp36x011"
NaAc_response,0.006881938163643131,stress response,2.0,"['ZMO1_ZMO1457', 'ZMO1_ZMO1458']","ZMO1_ZMO1457, ZMO1_ZMO1458"
nitrogen_fixation,0.01862965187694865,metabolism,12.0,"['ZMO1_ZMO1823', 'ZMO1_ZMO1824', 'ZMO1_ZMO1825', 'ZMO1_ZMO1826', 'ZMO1_ZMO1827', 'ZMO1_ZMO1828', 'ZMO1_ZMO1829', 'ZMO1_ZMO2028', 'ZMO1_ZMO1831', 'ZMO1_ZMO1832', 'ZMO1_ZMO1833', 'ZMO1_ZMO1834']","ZMO1_ZMO1824, ZMO1_ZMO1823, ZMO1_ZMO1825, ZMO1_ZMO1826, ZMO1_ZMO1829"
noise_1,0.0123602747147038,noise,15.0,"['ZMO1_ZMO0095', 'ZMO1_ZMO0366', 'ZMO1_ZMO0442', 'ZMO1_ZMO0847', 'ZMO1_ZMO0889', 'ZMO1_ZMO1033', 'ZMO1_ZMO1283', 'ZMO1_ZMO1344', 'ZMO1_ZMO1684', 'ZMO1_ZMO1685', 'ZMO1_ZMO1694', 'ZMO1_ZMO1719', 'ZMO1_ZMO1779', 'ZMO1_ZMO1780', 'ZMO1_ZMO1859']","ZMO1_ZMO1859, ZMO1_ZMO0889, ZMO1_ZMO1719, ZMO1_ZMO0847, ZMO1_ZMO1694"
noise_2,0.00212269957518485,noise,15.0,"['ZMO1_ZMO0895', 'ZMO1_ZMO2014', 'ZMO1_ZMO2016', 'ZMO1_ZMO1301', 'ZMO1_ZMO1468', 'ZMO1_ZMO1536', 'ZMO1_ZMO1589', 'ZMO1_ZMO1620', 'ZMO1_ZMO1966', 'ZMO1_ZMOp32x024', 'ZMO1_ZMOp33x034', 'ZMO1_ZMOp33x035', 'ZMO1_ZMOp36x027', 'ZMO1_ZMOp36x028', 'ZMO1_ZMOp36x038']","ZMO1_ZMOp36x038, ZMO1_ZMOp33x035, ZMO1_ZMO1536, ZMO1_ZMOp36x028, ZMO1_ZMOp33x034"
noise_3,0.002030139656005736,noise,45.0,"['ZMO1_ZMO0011', 'ZMO1_ZMO0036', 'ZMO1_ZMO0053', 'ZMO1_ZMO0216', 'ZMO1_ZMO0331', 'ZMO1_ZMO0371', 'ZMO1_ZMO0373', 'ZMO1_ZMO0388', 'ZMO1_ZMO0602', 'ZMO1_ZMO2052', 'ZMO1_ZMO0694', 'ZMO1_ZMO2054', 'ZMO1_ZMO0888', 'ZMO1_ZMO0889', 'ZMO1_ZMO0903', 'ZMO1_ZMO0989', 'ZMO1_ZMO1055', 'ZMO1_ZMO1080', 'ZMO1_ZMO1081', 'ZMO1_ZMO1085', 'ZMO1_ZMO1105', 'ZMO1_ZMO1116', 'ZMO1_ZMO1236', 'ZMO1_ZMO1373', 'ZMO1_ZMO1382', 'ZMO1_ZMO1456', 'ZMO1_ZMO1482', 'ZMO1_ZMO1487', 'ZMO1_ZMO1527', 'ZMO1_ZMO1581', 'ZMO1_ZMO1596', 'ZMO1_ZMO1628', 'ZMO1_ZMO1629', 'ZMO1_ZMO1782', 'ZMO1_ZMO1850', 'ZMO1_ZMO1851', 'ZMO1_ZMO1853', 'ZMO1_ZMO1928', 'ZMO1_ZMO1929', 'ZMO1_ZMO1961', 'ZMO1_ZMO1962', 'ZMO1_ZMOp32x015', 'ZMO1_ZMOp36x010', 'ZMO1_ZMOp36x022', 'ZMO1_ZMOp39x002']","ZMO1_ZMO1105, ZMO1_ZMO1961, ZMO1_ZMO1080, ZMO1_ZMO1081, ZMO1_ZMO0331"
noise_4,0.008423555283103235,noise,35.0,"['ZMO1_ZMO0090', 'ZMO1_ZMO0095', 'ZMO1_ZMO0142', 'ZMO1_ZMO0150', 'ZMO1_ZMO0432', 'ZMO1_ZMO0566', 'ZMO1_ZMO0688', 'ZMO1_ZMO0689', 'ZMO1_ZMO0698', 'ZMO1_ZMO0797', 'ZMO1_ZMO0798', 'ZMO1_ZMO0799', 'ZMO1_ZMO0800', 'ZMO1_ZMO0801', 'ZMO1_ZMO0876', 'ZMO1_ZMO0889', 'ZMO1_ZMO0895', 'ZMO1_ZMO0902', 'ZMO1_ZMO1026', 'ZMO1_ZMO1181', 'ZMO1_ZMO1236', 'ZMO1_ZMO1268', 'ZMO1_ZMO1301', 'ZMO1_ZMO1429', 'ZMO1_ZMO1430', 'ZMO1_ZMO1431', 'ZMO1_ZMO1432', 'ZMO1_ZMO1437', 'ZMO1_ZMO1671', 'ZMO1_ZMO1681', 'ZMO1_ZMO1682', 'ZMO1_ZMO1853', 'ZMO1_ZMO1855', 'ZMO1_ZMO1955', 'ZMO1_ZMOp33x034']","ZMO1_ZMO1853, ZMO1_ZMO1855, ZMO1_ZMO0801, ZMO1_ZMO0799, ZMO1_ZMO0797"
oxidation_response_2,0.014669901946003594,stress response,19.0,"['ZMO1_ZMO0085', 'ZMO1_ZMO0256', 'ZMO1_ZMO0422', 'ZMO1_ZMO0443', 'ZMO1_ZMO0678', 'ZMO1_ZMO0753', 'ZMO1_ZMO0754', 'ZMO1_ZMO0903', 'ZMO1_ZMO1060', 'ZMO1_ZMO1097', 'ZMO1_ZMO1113', 'ZMO1_ZMO1211', 'ZMO1_ZMO1495', 'ZMO1_ZMO1561', 'ZMO1_ZMO1603', 'ZMO1_ZMO1732', 'ZMO1_ZMO1753', 'ZMO1_ZMO1874', 'ZMO1_ZMO1875']","ZMO1_ZMO1732, ZMO1_ZMO1753, ZMO1_ZMO0678, ZMO1_ZMO0085, ZMO1_ZMO0422"
phage_shock,0.011237448115753113,stress response,4.0,"['ZMO1_ZMO1062', 'ZMO1_ZMO1063', 'ZMO1_ZMO1064', 'ZMO1_ZMO1065']","ZMO1_ZMO1062, ZMO1_ZMO1063, ZMO1_ZMO1064, ZMO1_ZMO1065"
plasmid_unknown_1,0.011822231061339727,uncharacterized,57.0,"['ZMO1_ZMO0031', 'ZMO1_ZMO0101', 'ZMO1_ZMO0102', 'ZMO1_ZMO0122', 'ZMO1_ZMO0188', 'ZMO1_ZMO0203', 'ZMO1_ZMO0318', 'ZMO1_ZMO0372', 'ZMO1_ZMO0687', 'ZMO1_ZMO2053', 'ZMO1_ZMO0795', 'ZMO1_ZMO0895', 'ZMO1_ZMO1080', 'ZMO1_ZMO1276', 'ZMO1_ZMO2016', 'ZMO1_ZMO2065', 'ZMO1_ZMO1576', 'ZMO1_ZMO1603', 'ZMO1_ZMO1681', 'ZMO1_ZMO1682', 'ZMO1_ZMO1696', 'ZMO1_ZMO1721', 'ZMO1_ZMO1780', 'ZMO1_ZMO1794', 'ZMO1_ZMO1834', 'ZMO1_ZMO2076', 'ZMO1_ZMO1932', 'ZMO1_ZMO1936', 'ZMO1_ZMO1945', 'ZMO1_ZMO1946', 'ZMO1_ZMO1949', 'ZMO1_ZMOp32x009', 'ZMO1_ZMOp32x014', 'ZMO1_ZMOp33x001', 'ZMO1_ZMOp33x002', 'ZMO1_ZMOp33x005', 'ZMO1_ZMOp33x008', 'ZMO1_ZMOp33x009', 'ZMO1_ZMOp33x010', 'ZMO1_ZMOp33x011', 'ZMO1_ZMOp33x012', 'ZMO1_ZMOp33x013', 'ZMO1_ZMOp33x014', 'ZMO1_ZMOp33x015', 'ZMO1_ZMOp33x016', 'ZMO1_ZMOp33x017', 'ZMO1_ZMOp33x018', 'ZMO1_ZMOp33x019', 'ZMO1_ZMOp33x020', 'ZMO1_ZMOp33x021', 'ZMO1_ZMOp33x022', 'ZMO1_ZMOp33x023', 'ZMO1_ZMOp33x028', 'ZMO1_ZMOp33x032', 'ZMO1_ZMOp36x018', 'ZMO1_ZMOp36x048', 'ZMO1_ZMOp36x034']","ZMO1_ZMO0101, ZMO1_ZMOp33x023, ZMO1_ZMOp33x016, ZMO1_ZMOp33x021, ZMO1_ZMOp33x019"
regulatory_plasmid,0.006237979683199835,regulatory,14.0,"['ZMO1_ZMO1853', 'ZMO1_ZMOp32x014', 'ZMO1_ZMOp32x015', 'ZMO1_ZMOp33x029', 'ZMO1_ZMOp33x030', 'ZMO1_ZMOp36x004', 'ZMO1_ZMOp36x033', 'ZMO1_ZMOp36x034', 'ZMO1_ZMOp36x035', 'ZMO1_ZMOp36x036', 'ZMO1_ZMOp39x032', 'ZMO1_ZMOp39x033', 'ZMO1_ZMOp39x036', 'ZMO1_ZMOp39x037']","ZMO1_ZMOp36x033, ZMO1_ZMOp36x035, ZMO1_ZMOp36x034, ZMO1_ZMOp39x033, ZMO1_ZMOp39x036"
ribonucleoside_reductase,0.007006611716779743,stress response,5.0,"['ZMO1_ZMO0443', 'ZMO1_ZMO1025', 'ZMO1_ZMO1026', 'ZMO1_ZMO1027', 'ZMO1_ZMO1039']","ZMO1_ZMO1027, ZMO1_ZMO1039, ZMO1_ZMO1025, ZMO1_ZMO1026, ZMO1_ZMO0443"
